id,orbit_id,orbit_determination_date,orbit_uncertainty,minimum_orbit_intersection,jupiter_tisserand_invariant,epoch_osculation,eccentricity,semi_major_axis,inclination,ascending_node_longitude,orbital_period,perihelion_distance,perihelion_argument,aphelion_distance,perihelion_time,mean_anomaly,mean_motion,equinox,asteroid_near_earth_object_neo_reference_id,created_at,updated_at
1,98,2017-04-06 09:29:34,0,0.313372,3.267,2458000.5,0.5204050681261931,2.377065592293492,20.95047154769285,167.3995452250696,1338.628834056353,1.140028610795568,250.179646628075,3.614102573791417,2458492.728981364743,227.6239232391675,0.2689319031841838,J2000,2021277,2017-07-29 19:26:23.33286,2017-07-29 19:26:23.33286
2,107,2017-04-06 09:27:06,0,0.508061,3.102,2458000.5,0.5227955371259507,2.553756449443951,26.98032572040052,226.6573296994756,1490.622394245675,1.21866397476804,272.5257159452576,3.888848924119862,2457881.504240496563,28.73864875947703,0.241509856144471,J2000,2153306,2017-07-29 19:26:23.371854,2017-07-29 19:26:23.371854
3,184,2017-04-06 09:26:40,1,0.134892,4.293,2458000.5,0.2765906966720856,1.586866018596505,17.23118191295469,309.3012724533345,730.144498367798,1.147953640987639,351.5348408994461,2.025778396205371,2457716.260989409657,140.1449220548376,0.4930530885389978,J2000,2162038,2017-07-29 19:26:23.385899,2017-07-29 19:26:23.385899
4,66,2017-06-03 06:19:36,0,0.501031,4.336,2458000.5,0.6671307618164383,1.327962043075027,56.31282891416037,247.0556270301461,558.9550955568759,0.4420377136150705,155.6280818282431,2.213886372534984,2458102.308380062561,294.4294074535496,0.6440588928549602,J2000,2163335,2017-07-29 19:26:23.432012,2017-07-29 19:26:23.432012
5,129,2017-04-06 09:25:47,0,0.538789,3.108,2458000.5,0.5114188802005835,2.569890804085108,26.23314263037786,257.2635451006278,1504.771067543074,1.255600126822125,91.3157178005813,3.884181481348091,2457775.010011345411,53.94601057036105,0.2392390495570816,J2000,2189058,2017-07-29 19:26:23.44889,2017-07-29 19:26:23.44889
6,64,2017-04-06 09:25:26,0,0.205195,3.413,2458000.5,0.4730111175081129,2.30751949493784,9.250499833390331,138.667633911512,1280.314001940428,1.216037119965536,189.3466569624149,3.399001869910144,2457894.539885162774,29.79397341869906,0.2811810223541947,J2000,2210012,2017-07-29 19:26:23.48605,2017-07-29 19:26:23.48605
7,94,2015-01-08 11:12:05,0,0.600743,2.993,2457600.5,0.3826831275030616,2.104740374542074,63.68286998824724,190.125241798393,1115.311614869463,1.299291745430348,101.8029165672748,2.9101890036538,2457977.671756231325,238.2565962435808,0.3227797462166075,J2000,2276274,2017-07-29 19:26:23.504919,2017-07-29 19:26:23.504919
8,65,2017-05-04 06:19:32,0,0.497797,3.217,2458000.5,0.4416188782334515,2.200218932997854,43.07606691083987,52.32478299554463,1192.057688275644,1.22856071593934,285.8752252405493,3.171877150056368,2458286.534752192714,273.6178460135341,0.3019988072227893,J2000,2277473,2017-07-29 19:26:23.534253,2017-07-29 19:26:23.534253
9,129,2017-05-31 06:19:03,0,0.51508,3.065,2458000.5,0.5156059622942213,2.634757630444018,26.62452842157099,58.76641201417981,1562.102161266296,1.276260886986888,100.1608022948959,3.993254373901149,2457659.495561803543,78.58743224016128,0.2304586786488863,J2000,2305090,2017-07-29 19:26:23.565714,2017-07-29 19:26:23.565714
10,44,2017-04-06 09:23:48,0,0.281085,3.939,2458000.5,0.3209075935706747,1.843814092829196,7.89418922271434,332.8541369966142,914.4798110633976,1.252120149307682,281.4763315572985,2.43550803635071,2458022.605206415996,351.2979223669193,0.393666427235147,J2000,2315020,2017-07-29 19:26:23.612015,2017-07-29 19:26:23.612015
11,43,2017-04-06 09:23:44,0,0.578603,3.097,2458000.5,0.461606140135784,2.299885710722227,44.98839592548462,308.1542816674928,1273.965917100423,1.238244345042296,84.2157056551053,3.361527076402159,2458482.270846043538,223.8601690613343,0.2825821281148311,J2000,2322913,2017-07-29 19:26:23.62934,2017-07-29 19:26:23.62934
12,55,2017-07-27 06:22:20,0,0.50007,3.747,2458000.5,0.3219254221294445,1.870212232588486,31.83303990996158,132.8819983127834,934.1890378408766,1.268143370140787,281.4066050863503,2.472281095036185,2458104.486324695397,319.9277283569244,0.3853609766520509,J2000,2341816,2017-07-29 19:26:23.661699,2017-07-29 19:26:23.661699
13,50,2017-04-06 09:22:58,1,0.500155,3.531,2458000.5,0.3969871659859251,2.113167402817771,23.98586477979843,177.01653396953,1122.016596724831,1.274267064319306,276.9548047121901,2.952067741316236,2458423.528111852044,224.2710627353723,0.3208508689183751,J2000,2356285,2017-07-29 19:26:23.702379,2017-07-29 19:26:23.702379
14,91,2017-07-27 06:22:30,0,0.465698,3.021,2458000.5,0.5550438761650671,2.669373991599217,25.93204622197264,129.515579618708,1592.988218854238,1.18775430436777,276.2928977928893,4.150993678830663,2458057.680371427001,347.0777865962336,0.2259903718929768,J2000,2385580,2017-07-29 19:26:23.751383,2017-07-29 19:26:23.751383
15,46,2017-04-06 09:21:55,0,0.530235,2.569,2458000.5,0.8868676584129154,2.524971667654337,37.78360265126045,166.2929237298778,1465.491118788866,0.2856559572027813,358.1865275729298,4.764287378105894,2458221.514824792284,305.7073905770388,0.2456514375177632,J2000,2397237,2017-07-29 19:26:23.787408,2017-07-29 19:26:23.787408
